"Comment","Designator","MPN","LCSC"
"100nF","C1, C2, ","CC0603KRX7R9BB104","C14663"
"Conn_01x02","J1, J2, J3, ","",""
"DMP3028LSD","Q1, ","DMP3028LSD-13","C397949"
"DMN3042L","Q2, ","DMN3042L-7","C102621"
"2k","R1, ","0603WAF2001T5E","C22975"
"TestPoint_2Pole","TP1, ","",""
"TLV2401DBV","U1, U4, ","TLV2401DBV","C202319"
"AQY212GS","U2, U3, ","","C129283"
