Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.400000,-92.800000,90.000000,top
C2,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.100000,-97.900000,90.000000,top
Q1,DMP3028LSD,SO-8_3.9x4.9mm_P1.27mm,132.000000,-86.400000,0,top
Q2,DMN3042L,SOT-23,140.550000,-97.950000,270,top
R1,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.500000,-91.500000,180.000000,top
U1,TLV2401DBV,SOT-23-5,132.100000,-92.900000,0,top
U2,AQY212GS,SOP-4_3.8x4.1mm_P2.54mm,121.500000,-84.500000,270.000000,top
U3,AQY212GS,SOP-4_3.8x4.1mm_P2.54mm,126.500000,-84.500000,270.000000,top
U4,TLV2401DBV,SOT-23-5,134.350000,-97.450000,270,top
